id,sport,type,canonical_name,zh_hans,zh_hant,en,ja,es,aliases
fb_fc_utrecht,football,team,FC Utrecht,乌得勒支,烏德勒支,FC Utrecht,FCユトレヒト,FC Utrecht,FC Utrecht | Utrecht | 乌得勒支 | 烏德勒支
fb_fc_volendam,football,team,FC Volendam,福伦丹,科寧丹,FC Volendam,FCフォレンダム,FC Volendam,FC Volendam | Volendam | 福伦丹 | 科寧丹
fb_fk_bod_glimt,football,team,FK Bodø/Glimt,博多格林特,波杜基林特,Bodø/Glimt,FKボデ/グリムト,Bodø/Glimt,Bodo Glimt | Bodø/Glimt | FK Bodø/Glimt | 博多格林特 | 波杜基林特
fb_fk_kairat,football,team,FK Kairat,海拉提,卡拉特,Kairat Almaty,FKカイラト,Kairat Almaty,FK Kairat | Kairat | Kairat Almaty | 卡拉特 | 海拉提
fb_fk_shakhtar_donetsk,football,team,FK Shakhtar Donetsk,顿涅茨克矿工,薩克達,Shakhtar Donetsk,FCシャフタール・ドネツク,Shakhtar Donetsk,FK Shakhtar Donetsk | Shakhtar | Shakhtar Donetsk | 礦工 | 薩克達 | 顿涅茨克矿工
fb_fenerbah_e_sk,football,team,Fenerbahçe SK,费内巴切,費倫巴治,Fenerbahçe,フェネルバフチェSK,Fenerbahçe,Fenerbahce | Fenerbahçe | Fenerbahçe SK | 費倫巴治 | 费内巴切
fb_feyenoord_rotterdam,football,team,Feyenoord Rotterdam,费耶诺德,飛燕諾,Feyenoord,フェイエノールト,Feyenoord,Feyenoord | Feyenoord Rotterdam | 费耶诺德 | 飛燕諾
fb_fluminense_fc,football,team,Fluminense FC,弗鲁米嫩塞,富明尼斯,Fluminense,フルミネンセ,Fluminense,Fluminense | Fluminense FC | 富明尼斯 | 弗鲁米嫩塞
fb_fortaleza_ec,football,team,Fortaleza EC,福塔莱萨,科泰尼沙,Fortaleza,フォルタレーザ,Fortaleza,Fortaleza | Fortaleza EC | 福塔莱萨 | 科泰尼沙
fb_fortuna_sittard,football,team,Fortuna Sittard,福图纳锡塔德,幸運薛達,Fortuna Sittard,フォルトゥナ・シッタート,Fortuna Sittard,Fortuna Sittard | 幸運薛達 | 福图纳锡塔德
fb_france,football,team,France,法国,法國,France,フランス,Francia,France | 法国 | 法國
fb_frosinone_calcio,football,team,Frosinone Calcio,弗罗西诺内,費辛隆尼,Frosinone,フロジノーネ・カルチョ,Frosinone,Frosinone | Frosinone Calcio | 弗罗西诺内 | 費辛隆尼
fb_fulham_fc,football,team,Fulham FC,富勒姆,富咸,Fulham,フラム,Fulham,Fulham | Fulham FC | 富勒姆 | 富咸
fb_gd_estoril_praia,football,team,GD Estoril Praia,埃斯托里尔,艾斯杜尼,Estoril Praia,GDエストリル・プライア,Estoril Praia,Estoril | Estoril Praia | GD Estoril Praia | 埃斯托里尔 | 艾斯杜尼
fb_galatasaray_sk,football,team,Galatasaray SK,加拉塔萨雷,加拉塔沙雷,Galatasaray,ガラタサライSK,Galatasaray,Galatasaray | Galatasaray SK | 加拉塔沙雷 | 加拉塔萨雷
fb_genoa_cfc,football,team,Genoa CFC,热那亚,熱拿亞,Genoa,ジェノアCFC,Genoa,Genoa | Genoa CFC | 热那亚 | 熱拿亞
fb_germany,football,team,Germany,德国,德國,Germany,ドイツ,Alemania,Germany | 德国 | 德國
fb_getafe_cf,football,team,Getafe CF,赫塔菲,基達菲,Getafe,ヘタフェCF,Getafe,Getafe | Getafe CF | 基達菲 | 赫塔菲
fb_ghana,football,team,Ghana,加纳,加納,Ghana,ガーナ,Ghana,Ghana | 加納 | 加纳
fb_gil_vicente_fc,football,team,Gil Vicente FC,吉尔维森特,基維辛迪,Gil Vicente,ジル・ヴィセンテFC,Gil Vicente,Gil Vicente | Gil Vicente FC | 吉尔维森特 | 基維辛迪
fb_girona_fc,football,team,Girona FC,赫罗纳,基朗拿,Girona,ジローナFC,Girona,Girona | Girona FC | 基朗拿 | 赫罗纳
fb_go_ahead_eagles,football,team,Go Ahead Eagles,前进之鹰,伊高斯,Go Ahead Eagles,ゴー・アヘッド・イーグルス,Go Ahead Eagles,Go Ahead Eagles | 伊高斯 | 前进之鹰
fb_gr_mio_fbpa,football,team,Grêmio FBPA,格雷米奥,甘美奧,Grêmio,グレミオ,Grêmio,Gremio | Grêmio | Grêmio FBPA | 格雷米奥 | 甘美奧
fb_haiti,football,team,Haiti,海地,海地,Haiti,ハイチ,Haití,Haiti | 海地
fb_hamburger_sv,football,team,Hamburger SV,汉堡,漢堡,Hamburger SV,ハンブルガーSV,Hamburgo,Hamburg | Hamburger SV | 汉堡 | 漢堡
fb_hellas_verona_fc,football,team,Hellas Verona FC,维罗纳,維羅納,Hellas Verona,エラス・ヴェローナFC,Hellas Verona,Hellas Verona | Hellas Verona FC | Verona | 維羅納 | 维罗纳
fb_heracles_almelo,football,team,Heracles Almelo,赫拉克勒斯,荷華高斯,Heracles Almelo,ヘラクレス・アルメロ,Heracles Almelo,Heracles | Heracles Almelo | 荷華高斯 | 赫拉克勒斯
fb_hull_city_afc,football,team,Hull City AFC,赫尔城,侯城,Hull City,ハル・シティ,Hull City,Hull City | Hull City AFC | 侯城 | 赫尔城
fb_independiente_santa_fe,football,team,Independiente Santa Fe,圣菲独立,聖達菲獨立,Santa Fe,インデペンディエンテ・サンタフェ,Santa Fe,Independiente Santa Fe | Santa Fe | 圣菲独立 | 聖達菲獨立
fb_ipswich_town_fc,football,team,Ipswich Town FC,伊普斯维奇,葉士域治,Ipswich Town,イプスウィッチ・タウン,Ipswich Town,Ipswich Town | Ipswich Town FC | 伊普斯维奇 | 葉士域治
fb_iran,football,team,Iran,伊朗,伊朗,Iran,イラン,Irán,Iran | 伊朗
fb_iraq,football,team,Iraq,伊拉克,伊拉克,Iraq,イラク,Irak,Iraq | 伊拉克
fb_ivory_coast,football,team,Ivory Coast,科特迪瓦,科特迪瓦,Ivory Coast,コートジボワール,Costa de Marfil,Ivory Coast | 科特迪瓦 | 象牙海岸
fb_japan,football,team,Japan,日本,日本,Japan,日本,Japón,Japan | 日本
fb_jordan,football,team,Jordan,约旦,約旦,Jordan,ヨルダン,Jordania,Jordan | 約旦 | 约旦
fb_juventud_de_las_piedras,football,team,Juventud de Las Piedras,佩德拉斯青年,青年體育會,Juventud,ユベントゥ・デ・ラス・ピエドラス,Juventud de Las Piedras,Juventud | Juventud de Las Piedras | 佩德拉斯青年 | 青年體育會
fb_juventus_fc,football,team,Juventus FC,尤文图斯,祖雲達斯,Juventus,ユヴェントスFC,Juventus,Juve | Juventus | Juventus FC | 尤文 | 尤文图斯 | 祖雲達斯 | 老妇人
fb_lask_linz,football,team,LASK Linz,林茨,林茨,LASK,LASKリンツ,LASK Linz,LASK | LASK Linz | 林茨
fb_ldu_de_quito,football,team,LDU de Quito,基多大学体育,利加大學,LDU Quito,LDUキト,LDU Quito,LDU Quito | LDU de Quito | 利加大學 | 基多大学体育
fb_le_havre_ac,football,team,Le Havre AC,勒阿弗尔,勒哈弗爾,Le Havre,ル・アーヴルAC,Le Havre,Le Havre | Le Havre AC | 勒哈弗爾 | 勒阿弗尔
fb_le_mans_fc,football,team,Le Mans FC,勒芒,利文斯,Le Mans,ル・マンFC,Le Mans,Le Mans | Le Mans FC | 利文斯 | 勒芒
fb_leeds_united_fc,football,team,Leeds United FC,利兹联,列斯聯,Leeds United,リーズ・ユナイテッド,Leeds United,Leeds United | Leeds United FC | 列斯聯 | 利兹联
fb_leicester_city_fc,football,team,Leicester City FC,莱斯特城,李斯特城,Leicester City,レスター・シティ,Leicester City,Leicester | Leicester City | Leicester City FC | 李斯特城 | 莱斯特城
fb_levante_ud,football,team,Levante UD,莱万特,利雲特,Levante,レバンテUD,Levante,Levante | Levante UD | 利雲特 | 莱万特
fb_lille_osc,football,team,Lille OSC,里尔,里爾,Lille,リールOSC,Lille,Lille | Lille OSC | 里尔 | 里爾
fb_lincoln_city_fc,football,team,Lincoln City FC,林肯城,林肯城,Lincoln City,リンカーン・シティ,Lincoln City,Lincoln City | Lincoln City FC | 林肯城
fb_liverpool_fc,football,team,Liverpool FC,利物浦,利物浦,Liverpool,リヴァプール,Liverpool,Liverpool | Liverpool FC | 利物浦 | 红军
fb_manchester_city_fc,football,team,Manchester City FC,曼城,曼城,Manchester City,マンチェスター・シティ,Manchester City,Man City | Manchester City | Manchester City FC | 曼城 | 蓝月亮
fb_manchester_united_fc,football,team,Manchester United FC,曼联,曼聯,Manchester United,マンチェスター・ユナイテッド,Manchester United,Man United | Man Utd | Manchester United | Manchester United FC | 曼联 | 曼聯 | 红魔
fb_mexico,football,team,Mexico,墨西哥,墨西哥,Mexico,メキシコ,México,Mexico | 墨西哥
fb_middlesbrough_fc,football,team,Middlesbrough FC,米德尔斯堡,米杜士堡,Middlesbrough,ミドルズブラ,Middlesbrough,Middlesbrough | Middlesbrough FC | 米德尔斯堡 | 米杜士堡
fb_millwall_fc,football,team,Millwall FC,米尔沃尔,米禾尔,Millwall,ミルウォール,Millwall,Millwall | Millwall FC | 米尔沃尔 | 米禾尔
fb_mirassol_fc,football,team,Mirassol FC,米拉索尔,米拉索爾,Mirassol,ミラソウ,Mirassol,Mirassol | Mirassol FC | 米拉索尔 | 米拉索爾
fb_moreirense_fc,football,team,Moreirense FC,莫雷拉人,摩里倫斯,Moreirense,モレイレンセFC,Moreirense,Moreirense | Moreirense FC | 摩里倫斯 | 莫雷拉人
fb_morocco,football,team,Morocco,摩洛哥,摩洛哥,Morocco,モロッコ,Marruecos,Morocco | 摩洛哥
fb_m_laga_cf,football,team,Málaga CF,马拉加,馬拉加,Málaga,マラガCF,Málaga,Malaga | Málaga | Málaga CF | 馬拉加 | 马拉加
fb_nac_breda,football,team,NAC Breda,布雷达,比達,NAC Breda,NACブレダ,NAC Breda,NAC Breda | 布雷达 | 比達
fb_nec,football,team,NEC,奈梅亨,奈梅亨,NEC Nijmegen,NECナイメヘン,NEC Nijmegen,NEC | NEC Nijmegen | 奈梅亨
fb_netherlands,football,team,Netherlands,荷兰,荷蘭,Netherlands,オランダ,Países Bajos,Netherlands | 荷兰 | 荷蘭
fb_new_zealand,football,team,New Zealand,新西兰,紐西蘭,New Zealand,ニュージーランド,Nueva Zelanda,New Zealand | 新西兰 | 紐西蘭
fb_newcastle_united_fc,football,team,Newcastle United FC,纽卡斯尔联,紐卡素,Newcastle United,ニューカッスル・ユナイテッド,Newcastle United,Newcastle | Newcastle United | Newcastle United FC | 喜鹊 | 紐卡素 | 纽卡斯尔 | 纽卡斯尔联
fb_norway,football,team,Norway,挪威,挪威,Norway,ノルウェー,Noruega,Norway | 挪威
fb_norwich_city_fc,football,team,Norwich City FC,诺维奇,諾域治,Norwich City,ノーリッジ・シティ,Norwich City,Norwich City | Norwich City FC | 諾域治 | 诺维奇
fb_nottingham_forest_fc,football,team,Nottingham Forest FC,诺丁汉森林,諾定咸森林,Nottingham Forest,ノッティンガム・フォレスト,Nottingham Forest,Nottingham Forest | Nottingham Forest FC | 諾定咸森林 | 诺丁汉森林
fb_o_higgins_fc,football,team,O'Higgins FC,奥希金斯,奧希金斯,O'Higgins,オヒギンスFC,O'Higgins,O'Higgins | O'Higgins FC | 奥希金斯 | 奧希金斯
fb_ogc_nice,football,team,OGC Nice,尼斯,尼斯,Nice,OGCニース,Niza,Nice | OGC Nice | 尼斯
fb_olympique_lyonnais,football,team,Olympique Lyonnais,里昂,里昂,Lyon,オリンピック・リヨン,Olympique de Lyon,Lyon | Olympique Lyonnais | 里昂
fb_olympique_de_marseille,football,team,Olympique de Marseille,马赛,馬賽,Marseille,オリンピック・マルセイユ,Olympique de Marsella,Marseille | Olympique de Marseille | 馬賽 | 马赛
fb_oxford_united_fc,football,team,Oxford United FC,牛津联,牛津聯,Oxford United,オックスフォード・ユナイテッド,Oxford United,Oxford United | Oxford United FC | 牛津联 | 牛津聯
fb_pae_aek,football,team,PAE AEK,雅典AEK,AEK雅典,AEK Athens,AEKアテネ,AEK Atenas,AEK Athens | AEK雅典 | PAE AEK | 雅典AEK
fb_pae_olympiakos_sfp,football,team,PAE Olympiakos SFP,奥林匹亚科斯,奧林比亞高斯,Olympiacos,オリンピアコスFC,Olympiacos,Olympiacos | PAE Olympiakos SFP | 奥林匹亚科斯 | 奧林比亞高斯
fb_pec_zwolle,football,team,PEC Zwolle,兹沃勒,施禾利,PEC Zwolle,PECズヴォレ,PEC Zwolle,PEC Zwolle | 兹沃勒 | 施禾利
fb_psv,football,team,PSV,埃因霍温,PSV燕豪芬,PSV Eindhoven,PSVアイントホーフェン,PSV Eindhoven,PSV | PSV Eindhoven | PSV燕豪芬 | 埃因霍温 | 燕豪芬
fb_panama,football,team,Panama,巴拿马,巴拿馬,Panama,パナマ,Panamá,Panama | 巴拿馬 | 巴拿马
fb_paphos_fc,football,team,Paphos FC,帕福斯,柏福斯,Pafos FC,パフォスFC,Pafos FC,Pafos | Pafos FC | Paphos FC | 帕福斯 | 柏福斯
fb_paraguay,football,team,Paraguay,巴拉圭,巴拉圭,Paraguay,パラグアイ,Paraguay,Paraguay | 巴拉圭
fb_paris_fc,football,team,Paris FC,巴黎FC,巴黎FC,Paris FC,パリFC,Paris FC,Paris FC | 巴黎FC
fb_paris_saint_germain_fc,football,team,Paris Saint-Germain FC,巴黎圣日耳曼,巴黎聖日耳門,Paris Saint-Germain,パリ・サンジェルマンFC,París Saint-Germain,PSG | Paris Saint-Germain | Paris Saint-Germain FC | 大巴黎 | 巴黎圣日耳曼 | 巴黎聖日耳門
fb_parma_calcio_1913,football,team,Parma Calcio 1913,帕尔马,帕爾馬,Parma,パルマ・カルチョ1913,Parma,Parma | Parma Calcio 1913 | 帕尔马 | 帕爾馬
fb_portsmouth_fc,football,team,Portsmouth FC,朴茨茅斯,樸茨茅夫,Portsmouth,ポーツマス,Portsmouth,Portsmouth | Portsmouth FC | 朴茨茅斯 | 樸茨茅夫
fb_portugal,football,team,Portugal,葡萄牙,葡萄牙,Portugal,ポルトガル,Portugal,Portugal | 葡萄牙
fb_preston_north_end_fc,football,team,Preston North End FC,普雷斯顿,普雷斯顿,Preston North End,プレストン・ノースエンド,Preston North End,Preston | Preston North End | Preston North End FC | 普雷斯顿
fb_qaraba_a_dam_fk,football,team,Qarabağ Ağdam FK,卡拉巴赫,卡拉巴克,Qarabağ,カラバフFK,Qarabağ,Qarabag | Qarabağ | Qarabağ Ağdam FK | 卡拉巴克 | 卡拉巴赫
fb_qatar,football,team,Qatar,卡塔尔,卡塔爾,Qatar,カタール,Catar,Qatar | 卡塔尔 | 卡塔爾
fb_queens_park_rangers_fc,football,team,Queens Park Rangers FC,女王公园巡游者,昆士柏流浪,Queens Park Rangers,クイーンズ・パーク・レンジャーズ,Queens Park Rangers,QPR | Queens Park Rangers | Queens Park Rangers FC | 女王公园巡游者 | 昆士柏流浪
fb_rb_bragantino,football,team,RB Bragantino,布拉干蒂诺红牛,巴甘蒂诺紅牛,Red Bull Bragantino,レッドブル・ブラガンチーノ,Red Bull Bragantino,Bragantino | RB Bragantino | Red Bull Bragantino | 巴甘蒂诺紅牛 | 布拉干蒂诺红牛
fb_rb_leipzig,football,team,RB Leipzig,莱比锡红牛,RB萊比錫,RB Leipzig,RBライプツィヒ,RB Leipzig,Leipzig | RB Leipzig | RB萊比錫 | 莱比锡 | 莱比锡红牛
fb_rc_celta_de_vigo,football,team,RC Celta de Vigo,塞尔塔,切爾達,Celta Vigo,セルタ・デ・ビーゴ,Celta de Vigo,Celta Vigo | RC Celta de Vigo | 切爾達 | 塞尔塔
fb_rc_deportivo_la_coru_a,football,team,RC Deportivo La Coruña,拉科鲁尼亚,拉科魯尼亞,Deportivo La Coruña,デポルティーボ・ラ・コルーニャ,Deportivo La Coruña,Deportivo La Coruna | Deportivo La Coruña | RC Deportivo La Coruña | 拉科魯尼亞 | 拉科鲁尼亚
fb_rc_strasbourg_alsace,football,team,RC Strasbourg Alsace,斯特拉斯堡,斯特拉斯堡,Strasbourg,RCストラスブール,Estrasburgo,RC Strasbourg Alsace | Strasbourg | 斯特拉斯堡
fb_rcd_espanyol_de_barcelona,football,team,RCD Espanyol de Barcelona,西班牙人,愛斯賓奴,Espanyol,RCDエスパニョール,Espanyol,Espanyol | RCD Espanyol de Barcelona | 愛斯賓奴 | 西班牙人
fb_rcd_mallorca,football,team,RCD Mallorca,马略卡,馬略卡,Mallorca,RCDマジョルカ,Mallorca,Mallorca | RCD Mallorca | 馬略卡 | 马略卡
fb_racing_club,football,team,Racing Club,阿根廷竞技,競賽會,Racing Club,ラシン・クラブ,Racing Club,Racing | Racing Club | 竞技俱乐部 | 競賽會 | 阿根廷竞技
fb_racing_club_de_lens,football,team,Racing Club de Lens,朗斯,朗斯,Lens,RCランス,Lens,Lens | Racing Club de Lens | 朗斯
fb_rayo_vallecano_de_madrid,football,team,Rayo Vallecano de Madrid,巴列卡诺,華历简奴,Rayo Vallecano,ラージョ・バジェカーノ,Rayo Vallecano,Rayo Vallecano | Rayo Vallecano de Madrid | 巴列卡诺 | 華历简奴
fb_real_betis_balompi,football,team,Real Betis Balompié,皇家贝蒂斯,皇家貝迪斯,Real Betis,レアル・ベティス,Real Betis,Real Betis | Real Betis Balompié | 皇家貝迪斯 | 皇家贝蒂斯 | 贝蒂斯
fb_real_madrid_cf,football,team,Real Madrid CF,皇家马德里,皇家馬德里,Real Madrid,レアル・マドリード,Real Madrid,Real Madrid | Real Madrid CF | 皇家馬德里 | 皇家马德里 | 皇马 | 银河战舰
fb_real_oviedo,football,team,Real Oviedo,奥维耶多,奧維耶多,Real Oviedo,レアル・オビエド,Real Oviedo,Oviedo | Real Oviedo | 奥维耶多 | 奧維耶多
fb_real_racing_club_de_santander,football,team,Real Racing Club de Santander,桑坦德竞技,桑坦德,Racing Santander,ラシン・サンタンデール,Racing de Santander,Racing Santander | Real Racing Club de Santander | 桑坦德 | 桑坦德竞技
fb_real_sociedad_de_f_tbol,football,team,Real Sociedad de Fútbol,皇家社会,皇家蘇斯達,Real Sociedad,レアル・ソシエダ,Real Sociedad,Real Sociedad | Real Sociedad de Fútbol | 皇家社会 | 皇家蘇斯達
fb_rio_ave_fc,football,team,Rio Ave FC,里奥阿维,里奧艾維,Rio Ave,リオ・アヴェFC,Rio Ave,Rio Ave | Rio Ave FC | 里奥阿维 | 里奧艾維
fb_royale_union_saint_gilloise,football,team,Royale Union Saint-Gilloise,圣吉罗斯联合,聖基萊斯聯,Union Saint-Gilloise,ロイヤル・ユニオン・サン＝ジロワーズ,Union Saint-Gilloise,Royale Union Saint-Gilloise | Union SG | Union Saint-Gilloise | 圣吉罗斯联合 | 聖基萊斯聯
fb_sbv_excelsior,football,team,SBV Excelsior,精英队,精英隊,Excelsior,SBVエクセルシオール,Excelsior,Excelsior | SBV Excelsior | 精英队 | 精英隊 | 鹿特丹精英
fb_sc_cambuur_leeuwarden,football,team,SC Cambuur-Leeuwarden,坎布尔,甘堡爾,SC Cambuur,SCカンブール・レーワルデン,SC Cambuur,Cambuur | SC Cambuur | SC Cambuur-Leeuwarden | 坎布尔 | 甘堡爾
fb_sc_corinthians_paulista,football,team,SC Corinthians Paulista,科林蒂安,哥连泰斯,Corinthians,コリンチャンス,Corinthians,Corinthians | SC Corinthians | SC Corinthians Paulista | 哥连泰斯 | 科林蒂安
fb_sc_freiburg,football,team,SC Freiburg,弗赖堡,費雷堡,SC Freiburg,SCフライブルク,Friburgo,Freiburg | SC Freiburg | 弗赖堡 | 費雷堡
fb_sc_heerenveen,football,team,SC Heerenveen,海伦芬,海倫芬,SC Heerenveen,SCヘーレンフェーン,SC Heerenveen,Heerenveen | SC Heerenveen | 海伦芬 | 海倫芬
fb_sc_internacional,football,team,SC Internacional,国际,國際體育會,Internacional,インテルナシオナル,Internacional,Internacional | SC Internacional | 国际 | 國際體育會 | 巴西国际
fb_sc_paderborn_07,football,team,SC Paderborn 07,帕德博恩,柏達邦,SC Paderborn,SCパーダーボルン07,Paderborn,Paderborn | SC Paderborn | SC Paderborn 07 | 帕德博恩 | 柏達邦
fb_sc_recife,football,team,SC Recife,累西腓体育,利斯菲體育會,Sport Recife,スポルチ・レシフェ,Sport Recife,SC Recife | Sport Recife | 利斯菲體育會 | 累西腓体育
fb_se_palmeiras,football,team,SE Palmeiras,帕尔梅拉斯,彭美拉斯,Palmeiras,パルメイラス,Palmeiras,Palmeiras | SE Palmeiras | 帕尔梅拉斯 | 彭美拉斯
fb_sk_slavia_praha,football,team,SK Slavia Praha,布拉格斯拉维亚,布拉格斯拉維亞,Slavia Prague,SKスラヴィア・プラハ,Slavia Praga,SK Slavia Praha | Slavia Prague | 布拉格斯拉維亞 | 布拉格斯拉维亚
fb_ss_lazio,football,team,SS Lazio,拉齐奥,拉素,Lazio,SSラツィオ,Lazio,Lazio | SS Lazio | 拉素 | 拉齐奥 | 蓝鹰
fb_ssc_napoli,football,team,SSC Napoli,那不勒斯,拿坡里,Napoli,SSCナポリ,Nápoles,Napoli | SSC Napoli | 拿坡里 | 那不勒斯
fb_sv_07_elversberg,football,team,SV 07 Elversberg,埃尔沃斯堡,艾華斯堡,SV Elversberg,SV07エルフェアスベルク,Elversberg,Elversberg | SV 07 Elversberg | SV Elversberg | 埃尔沃斯堡 | 艾華斯堡
fb_sv_werder_bremen,football,team,SV Werder Bremen,云达不莱梅,雲達不萊梅,Werder Bremen,ヴェルダー・ブレーメン,Werder Bremen,SV Werder Bremen | Werder Bremen | 不莱梅 | 云达不莱梅 | 雲達不萊梅
fb_sabah_fk,football,team,Sabah FK,萨巴赫,沙巴巴赫,Sabah FC,サバFK,Sabah FK,Sabah FC | Sabah FK | 沙巴巴赫 | 萨巴赫
fb_santos_fc,football,team,Santos FC,桑托斯,山度士,Santos,サントス,Santos,Santos | Santos FC | 山度士 | 桑托斯
fb_saudi_arabia,football,team,Saudi Arabia,沙特阿拉伯,沙地阿拉伯,Saudi Arabia,サウジアラビア,Arabia Saudita,Saudi Arabia | 沙地阿拉伯 | 沙特 | 沙特阿拉伯
fb_scotland,football,team,Scotland,苏格兰,蘇格蘭,Scotland,スコットランド,Escocia,Scotland | 苏格兰 | 蘇格蘭
fb_senegal,football,team,Senegal,塞内加尔,塞內加爾,Senegal,セネガル,Senegal,Senegal | 塞內加爾 | 塞内加尔
fb_sevilla_fc,football,team,Sevilla FC,塞维利亚,西維爾,Sevilla,セビージャFC,Sevilla,Sevilla | Sevilla FC | 塞维利亚 | 西維爾
fb_sheffield_united_fc,football,team,Sheffield United FC,谢菲尔德联,錫菲聯,Sheffield United,シェフィールド・ユナイテッド,Sheffield United,Sheffield United | Sheffield United FC | 谢菲尔德联 | 谢菲联 | 錫菲聯
fb_sheffield_wednesday_fc,football,team,Sheffield Wednesday FC,谢菲尔德星期三,錫周三,Sheffield Wednesday,シェフィールド・ウェンズデイ,Sheffield Wednesday,Sheffield Wednesday | Sheffield Wednesday FC | 谢周三 | 谢菲尔德星期三 | 錫周三
fb_south_africa,football,team,South Africa,南非,南非,South Africa,南アフリカ,Sudáfrica,South Africa | 南非
fb_south_korea,football,team,South Korea,韩国,南韓,South Korea,韓国,Corea del Sur,South Korea | 南韓 | 韩国
fb_southampton_fc,football,team,Southampton FC,南安普顿,修咸顿,Southampton,サウサンプトン,Southampton,Southampton | Southampton FC | 修咸顿 | 南安普顿
fb_spain,football,team,Spain,西班牙,西班牙,Spain,スペイン,España,Spain | 西班牙
fb_sparta_rotterdam,football,team,Sparta Rotterdam,鹿特丹斯巴达,鹿特丹斯巴達,Sparta Rotterdam,スパルタ・ロッテルダム,Sparta Rotterdam,Sparta Rotterdam | 鹿特丹斯巴达 | 鹿特丹斯巴達
fb_sport_lisboa_e_benfica,football,team,Sport Lisboa e Benfica,本菲卡,賓菲加,Benfica,SLベンフィカ,Benfica,Benfica | Sport Lisboa e Benfica | 本菲卡 | 賓菲加
fb_sporting_clube_de_braga,football,team,Sporting Clube de Braga,布拉加,布拉加,Sporting Braga,スポルティング・デ・ブラガ,Sporting de Braga,Braga | Sporting Braga | Sporting Clube de Braga | 布拉加
fb_sporting_clube_de_portugal,football,team,Sporting Clube de Portugal,葡萄牙体育,士砵亭,Sporting CP,スポルティングCP,Sporting de Portugal,Sporting CP | Sporting Clube de Portugal | 士砵亭 | 葡萄牙体育 | 里斯本竞技
fb_stade_brestois_29,football,team,Stade Brestois 29,布雷斯特,比斯特,Brest,スタッド・ブレスト29,Brest,Brest | Stade Brestois 29 | 布雷斯特 | 比斯特
fb_stade_rennais_fc_1901,football,team,Stade Rennais FC 1901,雷恩,雷恩,Rennes,スタッド・レンヌ,Rennes,Rennes | Stade Rennais FC 1901 | 雷恩
fb_stoke_city_fc,football,team,Stoke City FC,斯托克城,史笃城,Stoke City,ストーク・シティ,Stoke City,Stoke City | Stoke City FC | 史笃城 | 斯托克城
fb_sunderland_afc,football,team,Sunderland AFC,桑德兰,新特兰,Sunderland,サンダーランド,Sunderland,Sunderland | Sunderland AFC | 新特兰 | 桑德兰
fb_swansea_city_afc,football,team,Swansea City AFC,斯旺西城,史雲斯,Swansea City,スウォンジー・シティ,Swansea City,Swansea City | Swansea City AFC | 史雲斯 | 斯旺西城
fb_sweden,football,team,Sweden,瑞典,瑞典,Sweden,スウェーデン,Suecia,Sweden | 瑞典
fb_switzerland,football,team,Switzerland,瑞士,瑞士,Switzerland,スイス,Suiza,Switzerland | 瑞士
fb_s_o_paulo_fc,football,team,São Paulo FC,圣保罗,聖保羅,São Paulo,サンパウロ,São Paulo,Sao Paulo | São Paulo | São Paulo FC | 圣保罗 | 聖保羅
fb_tsg_1899_hoffenheim,football,team,TSG 1899 Hoffenheim,霍芬海姆,賀芬咸,Hoffenheim,TSG1899ホッフェンハイム,Hoffenheim,Hoffenheim | TSG 1899 Hoffenheim | 賀芬咸 | 霍芬海姆
fb_telstar_1963,football,team,Telstar 1963,特尔斯达,泰斯達,Telstar,テルスター,Telstar,Telstar | Telstar 1963 | 泰斯達 | 特尔斯达
fb_torino_fc,football,team,Torino FC,都灵,拖連奴,Torino,トリノFC,Torino,Torino | Torino FC | 拖連奴 | 都灵
fb_tottenham_hotspur_fc,football,team,Tottenham Hotspur FC,托特纳姆热刺,熱刺,Tottenham Hotspur,トッテナム・ホットスパー,Tottenham Hotspur,Spurs | Tottenham | Tottenham Hotspur | Tottenham Hotspur FC | 托特纳姆热刺 | 热刺 | 熱刺
fb_toulouse_fc,football,team,Toulouse FC,图卢兹,圖盧茲,Toulouse,トゥールーズFC,Toulouse,Toulouse | Toulouse FC | 图卢兹 | 圖盧茲
fb_tunisia,football,team,Tunisia,突尼斯,突尼西亞,Tunisia,チュニジア,Túnez,Tunisia | 突尼斯 | 突尼西亞
fb_turkey,football,team,Turkey,土耳其,土耳其,Turkey,トルコ,Turquía,Turkey | 土耳其
fb_us_cremonese,football,team,US Cremonese,克雷莫内塞,克雷莫納,Cremonese,USクレモネーゼ,Cremonese,Cremonese | US Cremonese | 克雷莫内塞 | 克雷莫納
fb_us_lecce,football,team,US Lecce,莱切,萊切,Lecce,USレッチェ,Lecce,Lecce | US Lecce | 莱切 | 萊切
fb_us_sassuolo_calcio,football,team,US Sassuolo Calcio,萨索洛,薩斯索羅,Sassuolo,USサッスオーロ・カルチョ,Sassuolo,Sassuolo | US Sassuolo Calcio | 萨索洛 | 薩斯索羅
fb_udinese_calcio,football,team,Udinese Calcio,乌迪内斯,烏甸尼斯,Udinese,ウディネーゼ・カルチョ,Udinese,Udinese | Udinese Calcio | 乌迪内斯 | 烏甸尼斯
fb_united_states,football,team,United States,美国,美國,United States,アメリカ合衆国,Estados Unidos,USA | United States | 美国 | 美國
